name,source,kcal_tersimpan,kcal_atwater,rasio,protein,carbs,fat
aperol spritz 1 drink,daily_nutrition,180.0,80.0,0.44,0.0,20.0,0.0
ayam crispy oats,dapur_umami,176.2,359.8,2.04,11.4,52.0,11.8
ayam geprek mayo,dapur_umami,212.5,327.0,1.54,9.9,29.1,19.0
ayam golden crispy,dapur_umami,154.5,919.0,5.95,43.5,40.0,65.0
ayam goreng serai,dapur_umami,268.5,463.7,1.73,15.8,22.5,34.5
ayam kremes sajiku,dapur_umami,98.8,160.9,1.63,9.8,2.3,12.5
ayam terasi bawang,dapur_umami,99.8,217.4,2.18,7.8,24.5,9.8
bakwan jagung sajiku,dapur_umami,121.6,238.5,1.96,7.1,34.3,8.1
bakwan makaroni bayam,dapur_umami,359.7,731.6,2.03,14.7,91.7,34.0
bakwan mie sayur,dapur_umami,137.1,274.6,2.0,6.9,37.9,10.6
bakwan ubi,dapur_umami,219.8,496.5,2.26,10.5,67.5,20.5
baso kuah soto,dapur_umami,352.4,3724.0,10.57,24.4,877.8,12.8
baso panggang keju saori teriyaki,dapur_umami,73.5,290.9,3.96,18.8,3.3,22.5
beer 12 oz light,daily_nutrition,103.0,26.8,0.26,0.9,5.8,0.0
beras siger,indo_nutrition,344.0,119.4,0.35,1.1,28.3,0.2
campari soda 1 drink,daily_nutrition,85.0,40.0,0.47,0.0,10.0,0.0
cilok bandung,dapur_umami,61.7,216.9,3.52,4.3,41.6,3.7
daun semanggi,indo_nutrition,45.0,91.6,2.04,4.4,0.5,8.0
dodonkol,indo_nutrition,17.5,191.9,10.97,3.3,39.5,2.3
ebi furai,dapur_umami,107.8,200.4,1.86,8.8,14.3,12.0
espresso martini 1 drink,daily_nutrition,280.0,102.0,0.36,0.5,25.0,0.0
fettucini udang aglio olio,dapur_umami,267.2,124.7,0.47,3.2,17.4,4.7
gandasturi crispy sajiku,dapur_umami,133.8,367.4,2.75,9.5,69.3,5.8
gin tonic 1 drink,daily_nutrition,170.0,52.0,0.31,0.0,13.0,0.0
golden shrimp ball,dapur_umami,270.3,444.6,1.64,28.3,65.3,7.8
gurame saori asam manis,dapur_umami,132.5,542.4,4.09,29.0,46.3,26.8
ikan kriuk saus thailand sajiku,dapur_umami,85.0,200.6,2.36,7.1,30.0,5.8
jamur crispy saus thai,dapur_umami,150.8,361.7,2.4,5.8,56.5,12.5
jamur kriuk sajiku,dapur_umami,63.8,31.8,0.5,0.6,1.5,2.6
jukku pallu kaloa masakan,indo_nutrition,15.0,134.7,8.98,15.2,8.8,4.3
kacang gude muda,indo_nutrition,123.0,46.2,0.38,8.4,1.8,0.6
kakap kuah pedas masako,dapur_umami,15.3,60.5,3.95,11.0,3.0,0.5
kakiage sajiku,dapur_umami,198.5,85.5,0.43,1.0,8.0,5.5
kangkung bunga pepaya,dapur_umami,44.5,183.5,4.12,3.5,7.5,15.5
keripik kentang sajiku,dapur_umami,94.5,214.7,2.27,4.5,36.8,5.5
keripik tempe sajiku,dapur_umami,165.5,293.6,1.77,12.3,32.3,12.8
kerupuk udang,indo_nutrition,340.0,598.0,1.76,30.0,52.0,30.0
kerupuk udang berpati,indo_nutrition,359.0,2010.6,5.6,17.2,332.0,68.2
labu crispy,dapur_umami,130.5,249.4,1.91,3.8,32.0,11.8
limoncello 15 oz shot,daily_nutrition,150.0,72.0,0.48,0.0,18.0,0.0
lokan segar,indo_nutrition,217.0,79.7,0.37,11.0,5.1,1.7
lumpia sayur basah umami,dapur_umami,497.0,819.5,1.65,22.5,35.0,65.5
martabak tempe umami,dapur_umami,13.4,111.6,8.33,4.5,3.6,8.8
mi kering,indo_nutrition,339.0,80.5,0.24,10.0,6.3,1.7
mie goreng mayumi,dapur_umami,318.7,154.0,0.48,14.0,11.0,6.0
mie rebus tabur daging ayam,dapur_umami,268.5,116.9,0.44,10.7,5.7,5.7
mini quiche,dapur_umami,448.0,1461.5,3.26,25.0,188.5,67.5
misro,indo_nutrition,218.0,348.0,1.6,0.8,50.2,16.0
nasi goreng tomat,dapur_umami,57.4,89.4,1.56,2.6,9.4,4.6
negroni 1 drink,daily_nutrition,190.0,60.0,0.32,0.0,15.0,0.0
nugget bento sajiku,dapur_umami,69.1,194.0,2.81,5.1,17.3,11.6
nugget ubi abon sajiku,dapur_umami,90.1,188.6,2.09,4.1,31.8,5.0
okra kriuk,dapur_umami,748.0,1688.0,2.26,27.0,233.0,72.0
olah-olah,indo_nutrition,9.0,90.8,10.09,2.1,7.1,6.0
pancake seafood korea,dapur_umami,351.0,905.5,2.58,25.0,126.0,33.5
pangsit le gino,dapur_umami,598.0,951.0,1.59,44.0,56.5,61.0
paru masak belimbing,dapur_umami,213.4,104.2,0.49,11.4,5.2,4.2
